Temp,FeCl2,MgCl2,NaCl,NaHCO3,Surfactant,NiCl2,CuCl2,NaOH,H2
66.8,0.17,0.053,4.736,1.25,0.07375,0.00039,0.00085,1.199,17507
66.8,0.114,0.777,2.852,1.11,0.1,0.0002,0.00109,1.51525,2107
66.8,0.12,0.253,7.176,1.31,0.0835,0.0015,0.001535,0.82775,1139
66.8,0.136,0.286,6.668,2.45,0.0955,0.00059,0.00072,0.71775,162
66.8,0.134,0.202,7.488,2.78,0.041,0.001425,0.000165,0.14025,21
66.8,0.166,0.527,1.84,3.19,0.058,0.000675,0.000865,1.83425,705
66.8,0.2,0.325,3.484,3.28,0.06925,0.001485,0.00079,1.1495,146
66.8,0.192,0.353,2.748,4.98,0.0075,0.00019,0.0006,0.20075,57
66.8,0.112,0.743,3.908,4.4,0.0715,0.00035,0.00104,1.44375,180
66.8,0.166,0.074,4.9,1.21,0.07075,0.000375,0.000695,1.155,18003
69.1,0.162,0.033,4.412,0.71,0.0475,0.00027,0.000855,1.14675,2850
69.1,0.1,0.67,0,0,0.1,0.00079,0.000145,0,590
69.1,0.164,0.016,4.596,0.94,0.041,0.00048,0.000705,1.30625,2684
69.1,0.174,0.028,4.708,0.74,0.1,0.00026,0.000695,1.2155,2781
69.1,0.172,0.01,5.584,1,0.07075,0.000355,0.00075,1.0065,4568
69.1,0.164,0.111,5.92,0.9,0.02475,0.00024,0.000725,1.408,2516
69.1,0.174,0.073,4.7,1.17,0.075,0.00035,0.0009,0.92125,1829
69.1,0.158,0.028,5.656,0.83,0.0955,0.00042,0.00095,1.16875,2068
69.1,0.16,0.132,5.544,0.82,0.0835,0.000455,0.00076,1.20725,6503
69.1,0.158,0.057,4.068,1.41,0.06925,0.00023,0.000805,1.28975,10553
69.1,0.172,0.117,4.88,1.29,0.07425,0.000365,0.00099,1.2595,14205
69.1,0.164,0.047,5.808,1.55,0.0075,0.000345,0.00101,1.27875,4159
69.1,0.16,0.031,5.616,1.81,0.058,0.000415,0.000605,1.14125,729
69.1,0.15,0.738,2.492,2.44,0.0715,0.001285,0.002,1.7325,719
69.1,0.122,0.174,7.904,3.69,0.07375,0.001615,0.0016,1.562,116
66.8,0.14,0.028,1.924,0.29,0.0155,0.001495,0.00085,1.13025,4733
66.8,0.2,0.182,0.596,0.64,0.034,0.001785,0.000955,0.7535,3293
66.8,0.18,0.679,7.628,1.06,0.081,0.000515,0.00161,1.58125,2306
66.8,0.128,0.13,7.164,1.06,0.0685,0.000835,0.000665,0.86625,8335
66.8,0.134,0.734,4.188,1.2,0.058,0.00042,0.00051,0.297,639
66.8,0.114,0.245,5.232,1.8,0.01575,0.00123,0.000735,2.03225,3885
66.8,0.13,0.04,4.896,1.9,0.0875,0.001315,0.000385,1.29525,4190
66.8,0.172,0.681,6.864,2.1,0.04075,0.00139,0.00143,0.924,1164
66.8,0.14,0.694,3.98,2.88,0.02725,0.001665,0.00169,1.04775,795
66.8,0.158,0.495,3.812,3.05,0.03075,0.00174,0.00064,0.3575,60
66.8,0.166,0.074,4.9,1.21,0.1,0.000375,0.000695,1.155,27149
66.8,0.166,0.074,4.9,1.21,0.1,0.002,0.002,1.155,35274
66.8,0.2,0.074,4.9,1.21,0.07075,0.000375,0.000695,1.3915,18031
90,0.166,0.074,4.9,1.21,0.07075,0.000375,0.000695,1.155,6364
90,0.166,0.074,4.9,1.21,0.1,0.000375,0.000695,1.155,10722
90,0.166,0.074,4.9,1.21,0.1,0.002,0.002,1.155,30366
90,0.2,0.074,4.9,1.21,0.07075,0.000375,0.000695,1.3915,9231
66.8,0.164,0.11,4.68,1.18,0.065,0.000425,0.00083,1.2045,18414
90,0.15,0.74,1.68,2.8,0.075,0.00105,0.00195,1.8975,3542
90,0.132,0.51,0.26,0.38,0.08875,0.000885,0.000395,0.374,813
79.7,0.154,0.64,2.644,0.02,0.07425,0.000595,0.001835,1.53725,2978
79.7,0.106,0.762,0.728,0.62,0.01325,0.00163,0.00076,1.9415,2007
79.7,0.164,0.053,4.54,1.22,0.1,0.001785,0.001985,1.19075,5733
79.7,0.17,0.084,4.676,1.22,0.1,0.001965,0.00171,1.16875,6239
79.7,0.134,0.248,6.96,1.12,0.0925,0.000425,0.001085,0.9295,3655
79.7,0.168,0.114,4.98,1.21,0.1,0.00165,0.001935,1.17975,7195
79.7,0.168,0.055,5.38,1.19,0.1,0.00197,0.00197,1.17975,7613
79.7,0.178,0.105,8.096,1.13,0.098,0.001975,0.000735,1.2485,14433
79.7,0.14,0.249,2.044,3.59,0.0235,0.00078,0.00006,1.54275,3962
79.7,0.174,0.043,3.576,3.41,0.026,0.001635,0.001995,1.2375,685
79.7,0.112,0.534,7.688,2.33,0.039,0.000935,0.001645,0.97625,1599
79.7,0.15,0.397,7.596,3.6,0.0845,0.000515,0.00024,0.15675,71
79.7,0.104,0.058,6.12,3.96,0.0185,0.000865,0.000645,2.0515,72
79.7,0.164,0.623,5.596,3.88,0.012,0.000905,0.00151,1.221,245
79.7,0.19,0.221,6.784,4.81,0.03575,0.00066,0.001255,0.0935,30
80.5,0.188,0.068,4.744,1.2,0.1,0.000725,0.00109,1.2925,1989
80.5,0.164,0.132,4.324,1.2,0.09625,0.00103,0.00139,1.3145,2492
80.5,0.156,0.097,4.644,1.14,0.1,0.00174,0.001515,1.2155,3081
80.5,0.178,0.159,5.272,1.23,0.0875,0.000875,0.000815,1.452,21860
80.5,0.18,0.091,5.748,1.26,0.1,0.00096,0.00109,1.27325,5477
80.5,0.168,0.083,4.408,1.27,0.09825,0.001685,0.001865,1.408,5397
80.5,0.174,0.09,4.356,1.34,0.1,0.002,0.00198,1.09175,4707
80.5,0.18,0.068,6.36,1.14,0.1,0.00158,0.0017,1.08075,3348
80.5,0.168,0.068,5.872,1.26,0.1,0.002,0.00132,1.19075,4689
80.5,0.17,0.111,5.74,1.2,0.084,0.002,0.001855,1.232,3998
80.5,0.132,0.231,8.1,3.42,0.04325,0.00096,0.00107,0.2585,455
80.5,0.178,0.403,4.864,4.5,0.05,0.00088,0.00031,1.3695,254
80.5,0.168,0.485,6.796,3.44,0.09125,0.00172,0.00101,1.74625,1692
80.5,0.11,0,7.804,4.27,0.01625,0.001775,0.000545,1.78475,0
80.5,0.192,0.434,6.608,4.45,0.03425,0.00095,0.000575,1.232,517
66.8,0.18,0,2,0,0.1,0.0005,0.00125,1.65,4329
66.8,0.2,0,4.8,0.1,0.09,0.0015,0.0015,1.98,8440
66.8,0.2,0.074,4.9,1.21,0.1,0.002,0.002,1.155,10050
66.8,0.2,0.074,4.9,1.21,0.1,0.002,0.002,1.3915,6575
66.8,0.2,0.074,4.9,0,0.1,0.002,0.002,1.155,2802
66.8,0.2,0,4.9,1.21,0.1,0.002,0.002,1.155,5719
66.8,0.2,0.074,2.4,1.21,0.1,0.002,0.002,1.155,17605
66.8,0.166,0,0,0,0,0,0,1.155,355
