Expemt #,Type,Temperature,Water to Rock,FeCl2,MgCl2,NaCl,NaHCO3,Surfactant,NiCl2,CuCl2,NaOH,H2,H2_corr,
17,Initialization,57.5,49.3,0.2,0.15,0.76,2.4,0.0975,0.00005,0.001,2.0625,1185,1577.640264,
18,Initialization,57.5,23.36842105,0.19,0.79,5.6,4.4,0.0525,0.00125,0.00095,0.1925,160,256.7304314,
19,Initialization,57.5,26,0.2,0.51,3.64,4.8,0.0375,0.00015,0.00135,0.77,49,80.67992928,
20,Initialization,57.5,18.4057971,0.138,0.61,7.6,4.4,0.07,0.00015,0.00095,1.6225,52,83.71052984,
21,Initialization,90,51.66666667,0.132,0.73,1.76,4.1,0.0175,0.00105,0.00005,1.65,536,839.6200089,
22,Initialization,90,27.77777778,0.18,0.068,7.6,3.8,0.04,0.0001,0.0019,1.595,62,95.01676664,
23,Initialization,90,63.07692308,0.13,0.69,6,2.1,0.04,0.0018,0.00155,0.825,673,868.551062,
24,Initialization,90,67.89473684,0.114,0.61,3.2,3.2,0.02,0.00025,0.00105,1.925,753,1085.440466,
25,Initialization,90,93.07692308,0.156,0.41,0.52,0.76,0.0775,0.00085,0.0004,0.6325,2551,2818.420493,
26,Initialization,90,118.1967213,0.122,0.79,1.04,0.1,0.07,0.00035,0.0009,1.21,1516,1537.391609,
27,Initialization,90,48.13333333,0.15,0.74,1.68,2.8,0.075,0.00105,0.00195,1.8975,4537,6290.036769,
28,Initialization,90,67,0.1,0.2,5.6,3.6,0.095,0.0001,0.00135,0.275,975,1459.166856,
29,Initialization,90,60.75,0.16,0.57,1.12,3.4,0.0025,0.0003,0.00065,1.155,292,429.1553769,
30,Initialization,90,100.5797101,0.138,0.54,0.376,0.63,0.0675,0.0016,0.0017,0.66,1782,1936.78893,
31,Optimization,67.9,81.4691358,0.162,0.097,4.36,1.19,0.0715,0.000445,0.000755,1.14675,2351,,
32,Optimization,67.9,75.0952381,0.168,0.061,4.952,1.41,0.072,0.000305,0.000775,1.08625,3340,,
33,Optimization,67.9,74.5952381,0.168,0.06,5.068,1.31,0.07525,0.00049,0.000815,1.24025,3286,,
34,Optimization,67.9,74.38372093,0.172,0.099,5.096,1.19,0.072,0.000455,0.00074,1.17425,2376,,
35,Optimization,67.9,81.02469136,0.162,0.042,4.572,1.2,0.07275,0.00038,0.000735,1.25675,2392,,
36,Optimization,67.9,79.55952381,0.168,0.064,4.528,1.1,0.071,0.000485,0.00073,1.1275,2636,,
37,Optimization,67.9,78.77108434,0.166,0.05,4.78,1.25,0.07,0.00043,0.00062,1.0835,2518,,
38,Optimization,67.9,19.44,0.1,0.623,8.116,5,0.02,0.00158,0.002,1.4575,528,,
39,Optimization,67.9,75.98780488,0.164,0.019,4.824,1.53,0.07225,0.0004,0.000725,1.1495,1643,,
40,Optimization,67.9,78.98795181,0.166,0.093,4.812,1.17,0.074,0.000235,0.000705,1.13025,2344,,
41,Optimization,67.9,28.76744186,0.172,0.483,8.052,4.06,0.07525,0.00047,0.00007,1.30625,409,,
42,Optimization,67.9,37.45918367,0.196,0.49,0.376,5,0.00525,0.000305,0.000855,1.0835,183,,
43,Optimization,67.9,78.125,0.16,0.083,4.836,1.4,0.07975,0.00044,0.000745,1.1605,5990,,
44,Optimization,67.9,48.56321839,0.174,0.497,8.396,2.8,0.01225,0.000435,0.00028,0.275,609,,
45,Optimization,67.9,59.94791667,0.192,0.416,8.06,0.88,0.0585,0.00152,0.000825,0.37125,1681,,
46,Optimization,66.8,160.037037,0.108,0.601,0,0,0.1,0.00092,0.00039,0.11275,11282,,46
47,Optimization,66.8,94.22077922,0.154,0.269,6.3,0.13,0.02475,0.001065,0.001895,0.0275,1106,,
48,Optimization,66.8,71.64444444,0.18,0,1.584,2.03,0.0475,0.00068,0.000875,1.47125,2288,,
49,Optimization,66.8,79.8,0.16,0.073,5.068,1.26,0.07425,0.000395,0.0008,1.1,11857,,49
50,Optimization,66.8,75.65060241,0.166,0.085,4.676,1.44,0.075,0.000485,0.000685,1.1275,4788,,
51,Optimization,66.8,75.87058824,0.17,0.053,4.736,1.25,0.07375,0.00039,0.00085,1.199,17507,,51
52,Optimization,66.8,107.6140351,0.114,0.777,2.852,1.11,0.1,0.0002,0.00109,1.51525,2107,,
53,Optimization,66.8,89.01666667,0.12,0.253,7.176,1.31,0.0835,0.0015,0.001535,0.82775,1139,,
54,Optimization,66.8,68,0.136,0.286,6.668,2.45,0.0955,0.00059,0.00072,0.71775,162,,
55,Optimization,66.8,67.85074627,0.134,0.202,7.488,2.78,0.041,0.001425,0.000165,0.14025,21,,
56,Optimization,66.8,54.61445783,0.166,0.527,1.84,3.19,0.058,0.000675,0.000865,1.83425,705,,
57,Optimization,66.8,42.74,0.2,0.325,3.484,3.28,0.06925,0.001485,0.00079,1.1495,146,,
58,Optimization,66.8,37.73958333,0.192,0.353,2.748,4.98,0.0075,0.00019,0.0006,0.20075,57,,
59,Optimization,66.8,48.83928571,0.112,0.743,3.908,4.4,0.0715,0.00035,0.00104,1.44375,180,,
60,Optimization,66.8,78.20481928,0.166,0.074,4.9,1.21,0.07075,0.000375,0.000695,1.155,18003,,60
61,Optimization,69.1,89.39506173,0.162,0.033,4.412,0.71,0.0475,0.00027,0.000855,1.14675,2850,,
62,Optimization,69.1,173.86,0.1,0.67,0,0,0.1,0.00079,0.000145,0,590,,
63,Optimization,69.1,84.59756098,0.164,0.016,4.596,0.94,0.041,0.00048,0.000705,1.30625,2684,,
64,Optimization,69.1,79.71264368,0.174,0.028,4.708,0.74,0.1,0.00026,0.000695,1.2155,2781,,
65,Optimization,69.1,77.18604651,0.172,0.01,5.584,1,0.07075,0.000355,0.00075,1.0065,4568,,
66,Optimization,69.1,80.76829268,0.164,0.111,5.92,0.9,0.02475,0.00024,0.000725,1.408,2516,,
67,Optimization,69.1,75.97701149,0.174,0.073,4.7,1.17,0.075,0.00035,0.0009,0.92125,1829,,
68,Optimization,69.1,83.13924051,0.158,0.028,5.656,0.83,0.0955,0.00042,0.00095,1.16875,2068,,
69,Optimization,69.1,82.075,0.16,0.132,5.544,0.82,0.0835,0.000455,0.00076,1.20725,6503,,
70,Optimization,69.1,82.07594937,0.158,0.057,4.068,1.41,0.06925,0.00023,0.000805,1.28975,10553,,
71,Optimization,69.1,72.80232558,0.172,0.117,4.88,1.29,0.07425,0.000365,0.00099,1.2595,14205,,
72,Optimization,69.1,74.42682927,0.164,0.047,5.808,1.55,0.0075,0.000345,0.00101,1.27875,4159,,
73,Optimization,69.1,72.8,0.16,0.031,5.616,1.81,0.058,0.000415,0.000605,1.14125,729,,
74,Optimization,69.1,60.68,0.15,0.738,2.492,2.44,0.0715,0.001285,0.002,1.7325,719,,
75,Optimization,69.1,42.50819672,0.122,0.174,7.904,3.69,0.07375,0.001615,0.0016,1.562,116,,
76,ChatGPT,66.8,116.9857143,0.14,0.028,1.924,0.29,0.0155,0.001495,0.00085,1.13025,4733,,
77,ChatGPT,66.8,79.71,0.2,0.182,0.596,0.64,0.034,0.001785,0.000955,0.7535,3293,,
78,ChatGPT,66.8,54.88888889,0.18,0.679,7.628,1.06,0.081,0.000515,0.00161,1.58125,2306,,
79,ChatGPT,66.8,94.78125,0.128,0.13,7.164,1.06,0.0685,0.000835,0.000665,0.86625,8335,,
80,ChatGPT,66.8,95.91044776,0.134,0.734,4.188,1.2,0.058,0.00042,0.00051,0.297,639,,
81,ChatGPT,66.8,94.64912281,0.114,0.245,5.232,1.8,0.01575,0.00123,0.000735,2.03225,3885,,
82,ChatGPT,66.8,86.30769231,0.13,0.04,4.896,1.9,0.0875,0.001315,0.000385,1.29525,4190,,
83,ChatGPT,66.8,50.62790698,0.172,0.681,6.864,2.1,0.04075,0.00139,0.00143,0.924,1164,,
84,ChatGPT,66.8,60,0.14,0.694,3.98,2.88,0.02725,0.001665,0.00169,1.04775,795,,
85,ChatGPT,66.8,59.41772152,0.158,0.495,3.812,3.05,0.03075,0.00174,0.00064,0.3575,60,,
86,Human in loop,66.8,76.79518072,0.166,0.074,4.9,1.21,0.1,0.000375,0.000695,1.155,27149,,86
87,Human in loop,66.8,69.73493976,0.166,0.074,4.9,1.21,0.1,0.002,0.002,1.155,35274,,87
88,Human in loop,66.8,63.88,0.2,0.074,4.9,1.21,0.07075,0.000375,0.000695,1.3915,18031,,
89,Human in loop,90,78.20481928,0.166,0.074,4.9,1.21,0.07075,0.000375,0.000695,1.155,6364,,
90,Human in loop,90,76.79518072,0.166,0.074,4.9,1.21,0.1,0.000375,0.000695,1.155,10722,,
91,Human in loop,90,69.73493976,0.166,0.074,4.9,1.21,0.1,0.002,0.002,1.155,30366,,
92,Human in loop,90,63.88,0.2,0.074,4.9,1.21,0.07075,0.000375,0.000695,1.3915,9231,,
93,Human in loop,66.8,79.37804878,0.164,0.11,4.68,1.18,0.065,0.000425,0.00083,1.2045,18414,,
94,Human in loop,90,58.33333333,0.15,0.74,1.68,2.8,0.075,0.00105,0.00195,1.8975,3542,,
95,Human in loop,90,124.7272727,0.132,0.51,0.26,0.38,0.08875,0.000885,0.000395,0.374,813,,
96,Optimization,79.7,94.28571429,0.154,0.64,2.644,0.02,0.07425,0.000595,0.001835,1.53725,2978,,
97,Optimization,79.7,134.8301887,0.106,0.762,0.728,0.62,0.01325,0.00163,0.00076,1.9415,2007,,
98,Optimization,79.7,72.23170732,0.164,0.053,4.54,1.22,0.1,0.001785,0.001985,1.19075,5733,,
99,Optimization,79.7,69.2,0.17,0.084,4.676,1.22,0.1,0.001965,0.00171,1.16875,6239,,
100,Optimization,79.7,86.79104478,0.134,0.248,6.96,1.12,0.0925,0.000425,0.001085,0.9295,3655,,
101,Optimization,79.7,69.05952381,0.168,0.114,4.98,1.21,0.1,0.00165,0.001935,1.17975,7195,,
102,Optimization,79.7,67.96428571,0.168,0.055,5.38,1.19,0.1,0.00197,0.00197,1.17975,7613,,
103,Optimization,79.7,59.14606742,0.178,0.105,8.096,1.13,0.098,0.001975,0.000735,1.2485,14433,,
104,Optimization,79.7,67.95714286,0.14,0.249,2.044,3.59,0.0235,0.00078,0.00006,1.54275,3962,,
105,Optimization,79.7,49.26436782,0.174,0.043,3.576,3.41,0.026,0.001635,0.001995,1.2375,685,,
106,Optimization,79.7,73.76785714,0.112,0.534,7.688,2.33,0.039,0.000935,0.001645,0.97625,1599,,
107,Optimization,79.7,46.44,0.15,0.397,7.596,3.6,0.0845,0.000515,0.00024,0.15675,71,,
108,Optimization,79.7,63.03846154,0.104,0.058,6.12,3.96,0.0185,0.000865,0.000645,2.0515,72,,
109,Optimization,79.7,37.08536585,0.164,0.623,5.596,3.88,0.012,0.000905,0.00151,1.221,245,,
110,Optimization,79.7,27.55789474,0.19,0.221,6.784,4.81,0.03575,0.00066,0.001255,0.0935,30,,
111,Optimization,80.5,66.15957447,0.188,0.068,4.744,1.2,0.1,0.000725,0.00109,1.2925,1989,,
112,Optimization,80.5,75.09756098,0.164,0.132,4.324,1.2,0.09625,0.00103,0.00139,1.3145,2492,,
113,Optimization,80.5,77.32051282,0.156,0.097,4.644,1.14,0.1,0.00174,0.001515,1.2155,3081,,
114,Optimization,80.5,67.28089888,0.178,0.159,5.272,1.23,0.0875,0.000875,0.000815,1.452,21860,,
115,Optimization,80.5,64.98888889,0.18,0.091,5.748,1.26,0.1,0.00096,0.00109,1.27325,5477,,
116,Optimization,80.5,69.5952381,0.168,0.083,4.408,1.27,0.09825,0.001685,0.001865,1.408,5397,,
117,Optimization,80.5,66.67816092,0.174,0.09,4.356,1.34,0.1,0.002,0.00198,1.09175,4707,,
118,Optimization,80.5,62.92222222,0.18,0.068,6.36,1.14,0.1,0.00158,0.0017,1.08075,3348,,
119,Optimization,80.5,66.94047619,0.168,0.068,5.872,1.26,0.1,0.002,0.00132,1.19075,4689,,
120,Optimization,80.5,66.04705882,0.17,0.111,5.74,1.2,0.084,0.002,0.001855,1.232,3998,,
121,Optimization,80.5,54.31818182,0.132,0.231,8.1,3.42,0.04325,0.00096,0.00107,0.2585,455,,
122,Optimization,80.5,32.08988764,0.178,0.403,4.864,4.5,0.05,0.00088,0.00031,1.3695,254,,
123,Optimization,80.5,32.69047619,0.168,0.485,6.796,3.44,0.09125,0.00172,0.00101,1.74625,1692,,
124,Optimization,80.5,46.29090909,0.11,0,7.804,4.27,0.01625,0.001775,0.000545,1.78475,0,,
125,Optimization,80.5,25.8125,0.192,0.434,6.608,4.45,0.03425,0.00095,0.000575,1.232,517,,
126,ChatGPT,66.8,89.55555556,0.18,0,2,0,0.1,0.0005,0.00125,1.65,4329,,
127,ChatGPT,66.8,69.2,0.2,0,4.8,0.1,0.09,0.0015,0.0015,1.98,8440,,
128,Human in loop,66.8,57.71,0.2,0.074,4.9,1.21,0.1,0.002,0.002,1.155,10050,,
129,Human in loop,66.8,56.85,0.2,0.074,4.9,1.21,0.1,0.002,0.002,1.3915,6575,,
130,Human in loop,66.8,69.81,0.2,0.074,4.9,0,0.1,0.002,0.002,1.155,2802,,
131,Human in loop,66.8,58.45,0.2,0,4.9,1.21,0.1,0.002,0.002,1.155,5719,,
132,Human in loop,66.8,63.96,0.2,0.074,2.4,1.21,0.1,0.002,0.002,1.155,17605,,
